"CONTEXT","HYPOTHESIS","LABEL","CONTEXT_FROM","HYPOTHESIS_FROM","SUBSET"
"A woman is sanding a porch with an electric sander .","The sander is destroyed .","2","SNLI-train","AGCI-WK","AGCI"
"The man confessed his love for the woman.","The woman envied him.","3","COPA-premise","COPA-effect","COPA"
"A all girls team huddles for a pep talk , they wear matching blue and white jerseys , black shorts , and white and black leg guards .","The huddles break off .","3","SNLI-train","AGCI-WK","AGCI"
"A white man is seen in a swimming pool floating above many floating devises .","The devises are a gift .","3","SNLI-train","AGCI-WK","AGCI"
"A man is looking over the choices on a buffet .","A person is available for the choices .","2","SNLI-train","AGCI-WK","AGCI"
"I paid the tattoo artist for the tattoo procedure","The procedure is software .","1","ROCStories","AGCI-WK","AGCI"
"A young man wearing all great is filling a cooler up with an assortment of foods .","The assortment continues to strengthen .","1","SNLI-train","AGCI-WK","AGCI"
"2 man and 1 boy is showing their books which has something to deal with '' passport '' .","The passport is revoked .","1","SNLI-train","AGCI-WK","AGCI"
"A woman looking at her phone and holding her pomeranian .","The pomeranian has a disease .","3","SNLI-train","AGCI-WK","AGCI"
"A man or older boy is standing up in a blue and white speedboat that 's parked in a driveway .","The speedboat is a serious threat to an environment .","2","SNLI-train","AGCI-WK","AGCI"
"The Irish setter with the safety vest is running ahead of the Rottwieler and the Dalmation .","The setter is a sporting dog .","5","SNLI-train","AGCI-WK","AGCI"
"A man and a woman stare at the entrance-way to some catacombs .","A team unearths the catacombs .","3","SNLI-train","AGCI-WK","AGCI"
"A nosy librarian is holding a selection of books while telling the cameraman to be quiet .","The librarian asks a person .","2","SNLI-train","AGCI-WK","AGCI"
"A group of 6 children varying in age from 7 to 14 are sitting around a dinner table ready to eat .","The 14 is called a number .","2","SNLI-train","AGCI-WK","AGCI"
"John and his dad were on their way to the grainery to pick up seed","They called inside for someone and looked out back, but saw nothing.","3","ROCStories-1st","ROCStories-3rd","ROC"
"Two male twins are folding a blue towel together .","The twins are a duplicate .","3","SNLI-train","AGCI-WK","AGCI"
"An angry-looking man pretends to choke his female counterpart .","A person is to meet the counterpart .","2","SNLI-train","AGCI-WK","AGCI"
"A man wearing a headscarf and loincloth is laying and smoothing an asphalt surface near a forest on a hot day .","The loincloth leads to a demand .","2","SNLI-test","AGCI-WK","AGCI"
"A man flies through the air on his skateboard above a white staircase .","The staircase is a way .","1","SNLI-train","AGCI-WK","AGCI"
"Someone left a box of kittens outside of Valerie 's work","The box is recovered .","3","ROCStories","AGCI-WK","AGCI"
"My friend and I got together for the carnival","The carnival is a show .","5","ROCStories","AGCI-WK","AGCI"
"A man touching a hanging strand of lamps .","The strand is a necklace .","2","SNLI-test","AGCI-WK","AGCI"
"A man with white hair and a white mustache is on a bicycle with a blue laundry basket resting on the handlebars .","A person licks the mustache .","2","SNLI-train","AGCI-WK","AGCI"
"Looking through a vehicle's windshield at a dog crossing the road.","The dog is sitting on the corner.","3","SNLI-train","SNLI-CONTRADICTION","SNLI"
"Overlooking a street with a sign above shops that states Welcome To Golden .","The Welcome is an acceptance .","5","SNLI-train","AGCI-WK","AGCI"
"Jim liked to watch sports but - never played","A person is suspended from the sports .","2","ROCStories","AGCI-WK","AGCI"
"My father took my to the national history museum","The museum is built .","5","ROCStories","AGCI-WK","AGCI"
"A man parks his back outside an ice cream parlor on a sunny day .","The parlor is a room .","5","SNLI-train","AGCI-WK","AGCI"
