"CONTEXT","INFERENCE","LABEL","CONTEXT_FROM","INFERENCE_FROM"
"A man in a turban looks at two police officers who are near a tent and a pile of refuse.","Two policemen are guarding a tent.","4","snli","snli"
"A young man is taking a self-portrait of his reflected image with a medium format camera while standing on an escalator.","A boy brushes his teeth in a bathroom.","1","snli","snli"
"The watchmaker had been working all night to finish his watch","Then fine-tuned the mechanisms.","4","roc","roc"
"Rob 's dog found a porcupine","The porcupine is a rodent .","5","roc","joci"
"It was Ben 's first time at the casino","He did not know how to play the dice game he saw.","4","roc","roc"
"Three children play together and act like celebrities with their props.","Three kids are running in the school.","3","snli","snli"
"We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground.","A human in a costume","5","snli","snli"
"Pyotr wanted a raise","The raise is an increase .","5","roc","joci"
"Staff and youth sitting on the floor crafting posters.","Staff and youth sitting on the floor crafting posters and using lots of different colors","4","snli","snli"
"A man in a black coat eats a doughnut while other men look out of frame .","The doughnut is a friedcake .","5","snli","joci"
"A person, costumed as the devil, stands with a young woman.","A person is standing.","5","snli","snli"
"Andrew had always been interested in French culture","He decided that he wanted to learn how to speak French.","4","roc","roc"
"The archeologist dug up the site.","She read about the site's history.","3","copa","copa"
"Gina awoke in a good mood","She was ready to begin working on her assignment.","4","roc","roc"
"A man dressed in old fashioned clothing holding a beer stein at a bar .","The stein is a mug .","5","snli","joci"
"A man wearing green waterproofs is walking on a grassy cliff top carrying some penguins .","The waterproofs are a fabric .","5","snli","joci"
"Trey went to the store to buy ingredients for a soup","A father runs the store .","3","roc","joci"
"Sarah wanted to save money on a coffee grinder","But when she used it to grind coffee beans, she quickly became tired.","3","roc","roc"
"The clock chimed every half hour and louder on the hour","The hour is a time unit .","5","roc","joci"
"A solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field .","The material is a substance .","5","snli","joci"
"Brian placed his lab sample on the scale and waited","The scale is immense .","3","roc","joci"
"A grandmother prepares snacks for her granddaughter .","The grandmother is a grandparent .","5","snli","joci"
"Woman attempting to complete a spare in bowling using a red ball .","The spare is a score .","5","snli","joci"
"A man in a brown shirt standing behind a bar pouring a drink from a metal shaker.","Nobody is standing.","1","snli","snli"
"Four asian children, three girls and one boy, sit behind a volcano diorama.","Four children are at a science fair.","3","snli","snli"
"The little boy lifts his leg and swings the bat in an attempt to hit the ball .","The boy is injured .","3","snli","joci"
"A woman attired in a formal blue police or military uniform , holding a flagpole , is sitting astride a horse .","The flagpole is made in a district .","2","snli","joci"
"Gretchen made enough salad for 10 people","A person orders the salad .","3","roc","joci"
"A all girls team huddles for a pep talk , they wear matching blue and white jerseys , black shorts , and white and black leg guards .","The huddles are a crowd .","4","snli","joci"
"For mother 's day Jane cooked her mother 's favorite meal","A person orders the meal .","2","roc","joci"
"A man with a pipe in his mouth looks with his eyebrow raised.","A man has a pipe in his mouth.","5","snli","snli"
"Boris felt that his workplace lacked personality","The personality is an attribute .","5","roc","joci"
"The traffic light turned yellow.","The driver honked his horn.","4","copa","copa"
"Portia had always wanted an outdoor game to play with her kids","Her husband and she argued over what game they should play.","4","roc","roc"
"Our group's conversation gradually lulled to silence.","I became enraged.","2","copa","copa"
"The country discovered new land.","The country abandoned the land.","2","copa","copa"
"A young man wearing blue jeans and converse is dancing while grasping the hand of a young lady","The people are holding hands.","5","snli","snli"
"The toddler started crying.","Her parents gave her a toy.","4","copa","copa"
